victim_date,vehicle,age,severity
2020-01-01,MOTO,27,sd
2020-01-01,MOTO,27,sd
2020-01-01,MOTO,26,sd
2020-01-03,MOTO,33,sd
2020-01-13,AUTO,58,sd
2020-01-16,TAXI,54,sd
2020-02-28,MOTO,47,sd
2020-03-02,PEATON,28,sd
2020-03-06,MOTO,32,sd
2020-04-23,MOTO,30,sd
2020-04-27,CICLISTA,46,sd
2020-05-26,MOTO,-1,sd
2020-07-09,MOTO,46,sd
2020-07-17,MOTO,43,sd
2020-07-19,MOTO,37,sd
2020-07-31,CICLISTA,44,sd
2020-09-13,CICLISTA,31,sd
2020-10-31,MOTO,26,SD
2020-10-31,MOTO,34,SD
2020-11-03,TRANSPORTE PUBLICO,55,sd
2020-11-10,CICLISTA,26,sd
2020-11-11,AUTO,45,sd
2020-11-11,PEATON,76,sd
2020-12-20,TRANSPORTE PUBLICO,60,sd
2020-01-03,CICLISTA,22,sd
2020-02-06,PEATON,21,sd
2020-03-11,MOTO,26,sd
2020-11-07,CICLISTA,56,sd
2020-01-06,MOTO,35,sd
2020-01-06,MOTO,32,sd
2020-01-06,CICLISTA,-1,sd
2020-01-13,CICLISTA,28,SD
2020-01-17,PEATON,33,sd
2020-01-31,CICLISTA,31,sd
2020-02-03,PEATON,6,sd
2020-02-05,MOTO,55,sd
2020-02-05,MOTO,30,sd
2020-02-08,MOTO,-1,sd
2020-02-11,MOTO,-1,sd
2020-02-11,CICLISTA,40,sd
2020-02-22,TRANSPORTE PUBLICO,68,sd
2020-02-28,MOTO,39,sd
2020-03-02,AUTO,34,sd
2020-03-03,TRANSPORTE PUBLICO,43,sd
2020-03-03,TRANSPORTE PUBLICO,19,sd
2020-03-05,CICLISTA,-1,sd
2020-03-11,MOTO,40,sd
2020-03-13,MOTO,45,sd
2020-03-15,AUTO,42,sd
2020-03-17,MOTO,24,sd
2020-05-07,MOTO,29,sd
2020-05-17,MOVIL,-1,sd
2020-05-17,MOTO,46,sd
2020-06-06,AUTO,38,sd
2020-06-18,MOTO,65,sd
2020-06-29,TAXI,22,sd
2020-06-29,TAXI,35,sd
2020-07-16,MOTO,36,sd
2020-07-17,PEATON,58,sd
2020-07-19,PEATON,29,sd
2020-07-29,MOTO,40,sd
2020-08-05,TAXI,54,sd
2020-08-05,TAXI,61,sd
2020-08-07,PEATON,20,sd
2020-08-15,CICLISTA,20,sd
2020-08-21,CICLISTA,51,sd
2020-08-22,TAXI,-1,sd
2020-08-22,AUTO,-1,sd
2020-08-26,MOTO,32,sd
2020-09-22,PEATON,27,sd
2020-10-12,MOTO,30,sd
2020-11-10,AUTO,19,sd
2020-11-13,MOTO,50,sd
2020-11-18,AUTO,-1,sd
2020-12-13,AUTO,23,sd
2020-12-18,CICLISTA,60,sd
2020-02-14,CICLISTA,20,sd
2020-02-20,CICLISTA,22,sd
2020-03-01,MOTO,36,sd
2020-11-04,MOTO,71,SD
2020-11-04,MOTO,13,sd
2020-11-05,MOTO,28,sd
2020-02-12,CICLISTA,54,sd
2020-11-16,MOTO,29,sd
2020-01-04,MOTO,-1,sd
2020-01-06,MOTO,45,sd
2020-01-06,MOTO,27,sd
2020-01-10,CICLISTA,55,sd
